,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Condition1,Condition2,BldgType,HouseStyle,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,FireplaceQu,GarageType,GarageFinish,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
10,11,20,4,70.0,11200,2,0.0,1,2,2,1,1,5,5,4,6,5,1965,1965,5,3,10,0.0,0.0,2,4,3,2.0,3.0,1.0,1.0,906,4.0,0,134,6,5,2,5.0,1040,0,0,1,0,1,0,3,1,2,5,7,0.0,2.0,1.0,384,4.0,5.0,3,0,0,0,0,0,0,0.0,0,2,2008,6,5,129500
11,12,60,4,85.0,11924,2,0.0,2,2,2,1,1,5,5,4,8,5,2005,2006,5,3,7,3.0,286.0,4,4,6,4.0,3.0,1.0,6.0,998,4.0,0,177,6,5,2,5.0,1182,1142,0,1,0,3,0,4,1,4,11,7,4.0,6.0,3.0,736,4.0,5.0,3,147,21,0,0,0,0,0.0,0,7,2006,8,6,345000
12,13,20,4,0.0,12968,2,0.0,3,2,2,1,1,5,5,4,6,6,1962,1962,5,3,11,0.0,0.0,2,4,3,2.0,3.0,1.0,4.0,737,4.0,0,175,6,3,2,5.0,912,0,0,1,0,1,0,2,1,2,4,7,0.0,2.0,1.0,352,4.0,5.0,3,140,0,0,0,176,0,0.0,0,9,2008,6,5,144000
13,14,20,4,91.0,10652,2,0.0,2,2,2,1,1,5,5,4,6,5,2006,2007,2,3,14,3.0,306.0,3,4,6,3.0,3.0,3.0,5.0,0,4.0,0,1494,6,5,2,5.0,1494,0,0,0,0,2,0,3,1,3,7,7,4.0,5.0,2.0,840,4.0,5.0,3,160,33,0,0,0,0,0.0,0,8,2007,8,6,279500
14,15,20,4,0.0,10920,2,0.0,2,2,2,2,1,5,5,4,6,5,1960,1960,5,3,6,2.0,212.0,2,4,3,2.0,3.0,1.0,2.0,733,4.0,0,520,6,3,2,5.0,1253,0,0,1,0,1,1,2,1,2,5,7,2.0,5.0,2.0,352,4.0,5.0,3,0,213,176,0,0,0,0.0,0,5,2008,6,5,157000
15,16,45,2,51.0,6120,2,0.0,1,2,2,2,1,5,5,4,1,8,1929,2001,2,3,5,0.0,0.0,2,4,2,2.0,3.0,1.0,5.0,0,4.0,0,832,6,5,2,4.0,854,0,0,0,0,1,0,2,1,2,5,7,0.0,2.0,1.0,576,4.0,5.0,3,48,112,0,0,0,0,0.0,0,7,2007,6,5,132000
16,17,20,4,0.0,11241,2,0.0,2,2,2,4,1,5,5,4,6,7,1970,1970,2,3,5,2.0,180.0,2,4,3,2.0,3.0,1.0,4.0,578,4.0,0,426,6,5,2,5.0,1004,0,0,1,0,1,0,2,1,2,5,7,3.0,5.0,3.0,480,4.0,5.0,3,0,0,0,0,0,0,2.0,700,3,2010,6,5,149000
17,18,90,4,72.0,10791,2,0.0,1,2,2,1,1,5,5,2,6,5,1967,1967,2,3,6,0.0,0.0,2,4,1,0.0,0.0,0.0,0.0,0,0.0,0,0,6,3,2,5.0,1296,0,0,0,0,2,0,2,2,2,6,7,0.0,1.0,1.0,516,4.0,5.0,3,0,0,0,0,0,0,2.0,500,10,2006,6,5,90000
18,19,20,4,66.0,13695,2,0.0,1,2,2,1,1,2,5,4,6,5,2004,2004,2,3,14,0.0,0.0,2,4,6,2.0,3.0,1.0,6.0,646,4.0,0,468,6,5,2,5.0,1114,0,0,1,0,1,1,3,1,3,6,7,0.0,2.0,1.0,576,4.0,5.0,3,0,102,0,0,0,0,0.0,0,6,2008,6,5,159000
19,20,20,4,70.0,7560,2,0.0,1,2,2,1,1,5,5,4,6,6,1958,1965,5,3,11,0.0,0.0,2,4,3,2.0,3.0,1.0,3.0,504,4.0,0,525,6,3,2,5.0,1339,0,0,0,0,1,0,3,1,2,6,5,0.0,5.0,1.0,294,4.0,5.0,3,0,0,0,0,0,0,0.0,0,5,2009,5,2,139000
20,21,60,4,101.0,14215,2,0.0,2,2,2,2,1,5,5,4,8,5,2005,2006,2,3,14,2.0,380.0,3,4,6,4.0,3.0,3.0,5.0,0,4.0,0,1158,6,5,2,5.0,1158,1218,0,0,0,3,1,4,1,3,9,7,4.0,6.0,2.0,853,4.0,5.0,3,240,154,0,0,0,0,0.0,0,11,2006,8,6,325300
21,22,45,2,57.0,7449,2,1.0,1,1,2,1,1,5,5,4,1,7,1930,1950,2,3,5,0.0,0.0,2,4,6,2.0,3.0,1.0,5.0,0,4.0,0,637,6,5,2,3.0,1108,0,0,0,0,1,0,3,1,3,6,7,4.0,5.0,1.0,280,4.0,5.0,1,0,0,205,0,0,0,0.0,0,6,2007,6,5,139400
22,23,20,4,75.0,9742,2,0.0,1,2,2,1,1,5,5,4,6,5,2002,2002,5,3,14,2.0,281.0,3,4,6,3.0,3.0,1.0,5.0,0,4.0,0,1777,6,5,2,5.0,1795,0,0,0,0,2,0,3,1,3,7,7,4.0,5.0,2.0,534,4.0,5.0,3,171,159,0,0,0,0,0.0,0,9,2008,6,5,230000
23,24,120,2,44.0,4224,2,0.0,1,2,2,1,1,5,5,5,6,7,1976,1976,2,3,15,0.0,0.0,2,4,6,3.0,3.0,1.0,6.0,840,4.0,0,200,6,3,2,5.0,1060,0,0,1,0,1,0,3,1,2,6,7,3.0,5.0,1.0,572,4.0,5.0,3,100,110,0,0,0,0,0.0,0,6,2007,6,5,129900
24,25,20,4,0.0,8246,2,0.0,2,2,2,1,1,5,5,4,6,8,1968,2001,2,3,11,0.0,0.0,2,3,3,2.0,3.0,2.0,1.0,188,6.0,668,204,6,5,2,5.0,1060,0,0,1,0,1,0,3,1,3,6,7,3.0,5.0,1.0,270,4.0,5.0,3,406,90,0,0,0,0,0.0,0,5,2010,6,5,154000
25,26,20,4,110.0,14230,2,0.0,1,2,2,2,1,5,5,4,6,5,2007,2007,2,3,14,3.0,640.0,3,4,6,3.0,3.0,1.0,5.0,0,4.0,0,1566,6,5,2,5.0,1600,0,0,0,0,2,0,3,1,3,7,7,4.0,5.0,2.0,890,4.0,5.0,3,0,56,0,0,0,0,0.0,0,7,2009,6,5,256300
26,27,20,4,60.0,7200,2,0.0,1,2,2,2,1,5,5,4,6,7,1951,2000,2,3,5,0.0,0.0,2,4,3,2.0,3.0,2.0,2.0,234,2.0,486,180,6,3,2,5.0,900,0,0,0,1,1,0,3,1,3,5,7,0.0,2.0,1.0,576,4.0,5.0,3,222,32,0,0,0,0,0.0,0,5,2010,6,5,134800
27,28,20,4,98.0,11478,2,0.0,1,2,2,1,1,5,5,4,6,5,2007,2008,2,3,14,3.0,200.0,3,4,6,4.0,3.0,1.0,6.0,1218,4.0,0,486,6,5,2,5.0,1704,0,0,1,0,2,0,3,1,3,7,7,4.0,5.0,2.0,772,4.0,5.0,3,0,50,0,0,0,0,0.0,0,5,2010,6,5,306000
28,29,20,4,47.0,16321,2,0.0,2,2,2,4,1,5,5,4,6,6,1957,1997,2,3,6,0.0,0.0,2,4,3,2.0,3.0,4.0,2.0,1277,4.0,0,207,6,3,2,5.0,1600,0,0,1,0,1,0,2,1,2,6,7,4.0,5.0,2.0,319,4.0,5.0,3,288,258,0,0,0,0,0.0,0,12,2006,6,5,207500
29,30,30,2,60.0,6324,2,0.0,2,2,2,1,1,3,1,4,6,6,1927,1950,2,3,6,0.0,0.0,2,4,2,2.0,3.0,1.0,5.0,0,4.0,0,520,6,2,1,5.0,520,0,0,0,0,1,0,1,1,1,4,7,0.0,2.0,1.0,240,2.0,5.0,3,49,0,87,0,0,0,0.0,0,5,2008,6,5,68500
30,31,70,1,50.0,8500,2,2.0,1,2,2,1,1,3,5,4,8,4,1920,1950,1,3,12,0.0,0.0,2,2,2,2.0,3.0,1.0,5.0,0,4.0,0,649,6,3,1,5.0,649,668,0,0,0,1,0,3,1,2,6,7,0.0,2.0,1.0,250,4.0,2.0,1,0,54,172,0,0,0,0.0,0,7,2008,6,5,40000
31,32,20,4,0.0,8544,2,0.0,2,2,2,4,1,5,5,4,6,6,1966,2006,2,3,10,0.0,0.0,2,4,3,2.0,3.0,1.0,5.0,0,4.0,0,1228,6,4,2,5.0,1228,0,0,0,0,1,1,3,1,3,6,7,0.0,5.0,1.0,271,4.0,5.0,3,0,65,0,0,0,0,0.0,0,6,2008,6,5,149350
32,33,20,4,85.0,11049,2,0.0,1,2,2,2,1,5,5,4,6,5,2007,2007,2,3,14,0.0,0.0,3,4,6,4.0,3.0,3.0,5.0,0,4.0,0,1234,6,5,2,5.0,1234,0,0,0,0,2,0,3,1,3,7,7,0.0,5.0,2.0,484,4.0,5.0,3,0,30,0,0,0,0,0.0,0,1,2008,6,5,179900
33,34,20,4,70.0,10552,2,0.0,2,2,2,1,1,5,5,4,6,5,1959,1959,5,3,12,0.0,0.0,2,4,3,2.0,3.0,1.0,1.0,1018,4.0,0,380,6,4,2,5.0,1700,0,0,0,1,1,1,4,1,3,6,7,4.0,5.0,2.0,447,4.0,5.0,3,0,38,0,0,0,0,0.0,0,4,2010,6,5,165500
34,35,120,4,60.0,7313,2,0.0,1,2,2,1,1,5,5,5,6,5,2005,2005,5,3,6,2.0,246.0,4,4,6,4.0,3.0,1.0,6.0,1153,4.0,0,408,6,5,2,5.0,1561,0,0,1,0,2,0,2,1,4,6,7,4.0,5.0,3.0,556,4.0,5.0,3,203,47,0,0,0,0,0.0,0,8,2007,6,5,277500
35,36,60,4,108.0,13418,2,0.0,1,2,2,1,1,5,5,4,8,5,2004,2005,2,3,14,3.0,132.0,3,4,6,4.0,3.0,3.0,5.0,0,4.0,0,1117,6,5,2,5.0,1132,1320,0,0,0,3,1,4,1,3,9,7,4.0,6.0,3.0,691,4.0,5.0,3,113,32,0,0,0,0,0.0,0,9,2006,6,5,309000
36,37,20,4,112.0,10859,2,0.0,1,2,2,2,1,5,5,4,6,5,1994,1995,2,3,14,0.0,0.0,2,4,6,3.0,3.0,1.0,5.0,0,4.0,0,1097,6,5,2,5.0,1097,0,0,0,0,1,1,3,1,2,6,7,0.0,5.0,1.0,672,4.0,5.0,3,392,64,0,0,0,0,0.0,0,6,2009,6,5,145000
37,38,20,4,74.0,8532,2,0.0,1,2,2,1,1,5,5,4,6,6,1954,1990,5,3,5,2.0,650.0,2,4,3,2.0,3.0,1.0,1.0,1213,4.0,0,84,6,4,2,5.0,1297,0,0,0,1,1,0,3,1,2,5,7,3.0,5.0,3.0,498,4.0,5.0,3,0,0,0,0,0,0,0.0,0,10,2009,6,5,153000
38,39,20,4,68.0,7922,2,0.0,1,2,2,1,1,5,5,4,6,7,1953,2007,2,3,14,0.0,0.0,2,3,3,2.0,3.0,1.0,6.0,731,4.0,0,326,6,3,2,5.0,1057,0,0,1,0,1,0,3,1,3,5,7,0.0,2.0,1.0,246,4.0,5.0,3,0,52,0,0,0,0,0.0,0,1,2010,6,2,109000
39,40,90,4,65.0,6040,2,0.0,1,2,2,1,1,5,5,2,6,5,1955,1955,2,3,11,0.0,0.0,2,4,6,0.0,0.0,0.0,0.0,0,0.0,0,0,6,3,1,2.0,1152,0,0,0,0,2,0,2,2,1,6,7,0.0,0.0,0.0,0,0.0,0.0,1,0,0,0,0,0,0,0.0,0,6,2008,6,1,82000
40,41,20,4,84.0,8658,2,0.0,1,2,2,1,1,5,5,4,6,5,1965,1965,2,3,5,2.0,101.0,2,4,3,2.0,3.0,1.0,1.0,643,4.0,0,445,6,5,2,5.0,1324,0,0,0,0,2,0,3,1,2,6,7,3.0,5.0,2.0,440,4.0,5.0,3,0,138,0,0,0,0,0.0,0,12,2006,6,2,160000
41,42,20,4,115.0,16905,2,0.0,1,2,2,1,1,5,5,4,6,6,1959,1959,2,3,14,0.0,0.0,2,3,3,2.0,3.0,4.0,2.0,967,4.0,0,383,6,4,2,5.0,1328,0,0,0,1,1,1,2,1,2,5,7,4.0,5.0,2.0,308,4.0,5.0,2,0,104,0,0,0,0,0.0,0,7,2007,6,5,170000
42,43,85,4,0.0,9180,2,0.0,2,2,2,4,1,5,5,4,2,7,1983,1983,2,3,10,0.0,0.0,2,4,3,3.0,3.0,3.0,4.0,747,3.0,93,0,6,4,2,5.0,884,0,0,1,0,1,0,2,1,3,5,7,0.0,5.0,2.0,504,4.0,4.0,3,240,0,0,0,0,0,0.0,0,12,2007,6,5,144000
43,44,20,4,0.0,9200,2,0.0,2,2,2,4,1,5,5,4,6,6,1975,1980,5,3,14,0.0,0.0,2,4,3,3.0,3.0,3.0,3.0,280,1.0,491,167,6,3,2,5.0,938,0,0,1,0,1,0,3,1,2,5,7,0.0,2.0,1.0,308,4.0,5.0,3,145,0,0,0,0,0,0.0,0,7,2008,6,5,130250
44,45,20,4,70.0,7945,2,0.0,1,2,2,1,1,5,5,4,6,6,1959,1959,2,3,5,0.0,0.0,2,4,3,2.0,3.0,1.0,4.0,179,1.0,506,465,6,5,2,4.0,1150,0,0,1,0,1,0,3,1,2,6,7,0.0,5.0,2.0,300,4.0,5.0,3,0,0,0,0,0,0,0.0,0,5,2006,6,5,141000
45,46,120,4,61.0,7658,2,0.0,1,2,2,1,1,5,5,5,6,5,2005,2005,5,3,6,2.0,412.0,4,4,6,4.0,3.0,1.0,6.0,456,4.0,0,1296,6,5,2,5.0,1752,0,0,1,0,2,0,2,1,4,6,7,4.0,5.0,2.0,576,4.0,5.0,3,196,82,0,0,0,0,0.0,0,2,2010,6,5,319900
46,47,50,4,48.0,12822,2,0.0,2,2,2,4,1,5,5,4,3,5,2003,2003,2,3,14,0.0,0.0,3,4,6,4.0,3.0,1.0,6.0,1351,4.0,0,83,6,5,2,5.0,1518,631,0,1,0,1,1,1,1,3,6,7,5.0,5.0,2.0,670,4.0,5.0,3,168,43,0,0,198,0,0.0,0,8,2009,6,2,239686
47,48,20,5,84.0,11096,2,0.0,1,2,2,1,1,5,5,4,6,5,2006,2006,2,3,14,0.0,0.0,3,4,6,3.0,3.0,3.0,6.0,24,4.0,0,1632,6,5,2,5.0,1656,0,0,0,0,2,0,3,1,3,7,7,0.0,5.0,2.0,826,4.0,5.0,3,0,146,0,0,0,0,0.0,0,7,2007,6,5,249700
48,49,190,2,33.0,4456,2,0.0,1,2,2,1,1,5,5,1,8,5,1920,2008,2,3,6,0.0,0.0,2,4,2,2.0,3.0,1.0,5.0,0,4.0,0,736,6,4,2,5.0,736,716,0,0,0,2,0,2,3,2,8,7,0.0,0.0,0.0,0,0.0,0.0,1,0,0,102,0,0,0,0.0,0,6,2009,8,6,113000
49,50,20,4,66.0,7742,2,0.0,1,2,2,1,1,5,5,4,6,7,1966,1966,2,3,10,0.0,0.0,2,4,3,2.0,3.0,1.0,2.0,763,4.0,0,192,6,5,2,5.0,955,0,0,1,0,1,0,3,1,2,6,7,0.0,5.0,1.0,386,4.0,5.0,3,0,0,0,0,0,0,0.0,0,1,2007,6,5,127000
50,51,60,4,0.0,13869,2,0.0,3,2,2,2,1,5,5,4,8,6,1997,1997,2,3,14,0.0,0.0,2,4,6,3.0,3.0,3.0,6.0,182,4.0,0,612,6,4,2,5.0,794,676,0,0,1,2,0,3,1,2,6,7,0.0,5.0,3.0,388,4.0,5.0,3,0,75,0,0,0,0,0.0,0,7,2007,6,5,177000
51,52,50,2,52.0,6240,2,0.0,1,2,2,1,1,5,5,4,3,6,1934,1950,2,3,5,0.0,0.0,2,4,6,2.0,3.0,1.0,5.0,0,4.0,0,816,6,3,2,5.0,816,0,360,0,0,1,0,3,1,2,6,7,4.0,2.0,1.0,528,4.0,5.0,3,112,0,0,0,0,0,2.0,400,9,2006,6,5,114500
52,53,90,2,110.0,8472,1,0.0,3,1,2,2,2,7,5,2,6,5,1963,1963,2,3,5,0.0,0.0,1,4,3,3.0,3.0,4.0,3.0,104,5.0,712,0,6,3,1,5.0,816,0,0,1,0,1,0,2,1,2,5,7,0.0,1.0,1.0,516,4.0,5.0,3,106,0,0,0,0,0,0.0,0,5,2010,6,5,110000
53,54,20,4,68.0,50271,2,0.0,2,3,2,1,1,5,5,4,6,5,1981,1987,2,8,7,0.0,0.0,3,4,3,4.0,3.0,4.0,6.0,1810,4.0,0,32,6,4,2,5.0,1842,0,0,2,0,0,1,0,1,3,5,7,4.0,5.0,3.0,894,4.0,5.0,3,857,72,0,0,0,0,0.0,0,11,2006,6,5,385000
54,55,80,4,60.0,7134,2,0.0,1,1,2,1,2,5,5,4,5,5,1955,1955,2,3,6,0.0,0.0,2,4,3,2.0,3.0,1.0,4.0,384,4.0,0,0,6,3,2,5.0,1360,0,0,0,0,1,0,3,1,2,6,5,3.0,2.0,1.0,572,4.0,5.0,3,0,50,0,0,0,0,0.0,0,2,2007,6,5,130000
55,56,20,4,100.0,10175,2,0.0,2,2,2,1,1,5,5,4,6,5,1964,1964,2,3,11,2.0,272.0,2,4,3,2.0,3.0,1.0,2.0,490,4.0,0,935,6,4,2,5.0,1425,0,0,0,0,2,0,3,1,2,7,7,4.0,5.0,2.0,576,4.0,5.0,3,0,0,0,407,0,0,0.0,0,7,2008,6,5,180500
56,57,160,5,24.0,2645,2,2.0,1,2,2,1,1,5,5,3,8,5,1999,2000,2,3,6,2.0,456.0,3,4,6,3.0,3.0,1.0,6.0,649,4.0,0,321,6,5,2,5.0,983,756,0,1,0,2,1,3,1,3,7,7,0.0,5.0,3.0,480,4.0,5.0,3,115,0,0,0,0,0,0.0,0,8,2009,6,2,172500
57,58,60,4,89.0,11645,2,0.0,2,2,2,2,1,5,5,4,8,5,2004,2004,2,3,14,0.0,0.0,3,4,6,3.0,3.0,1.0,5.0,0,4.0,0,860,6,5,2,5.0,860,860,0,0,0,2,1,3,1,3,7,7,0.0,5.0,2.0,565,4.0,5.0,3,0,70,0,0,0,0,0.0,0,8,2006,6,5,196500
59,60,20,4,60.0,7200,2,0.0,1,1,2,1,1,5,5,4,6,7,1972,1972,2,3,10,0.0,0.0,2,4,3,2.0,3.0,3.0,4.0,632,4.0,0,148,6,5,2,5.0,780,0,0,0,0,1,0,2,1,2,4,7,0.0,2.0,1.0,352,4.0,5.0,3,196,0,0,0,0,0,0.0,0,1,2008,6,5,124900
60,61,20,4,63.0,13072,2,0.0,1,2,2,1,1,2,5,4,6,5,2004,2004,2,3,14,0.0,0.0,2,4,6,3.0,3.0,1.0,4.0,941,4.0,0,217,6,5,2,5.0,1158,0,0,1,0,1,1,3,1,3,5,7,0.0,2.0,1.0,576,4.0,5.0,3,0,50,0,0,0,0,0.0,0,5,2006,8,6,158000
61,62,75,2,60.0,7200,2,0.0,1,2,2,1,1,5,5,4,4,7,1920,1996,2,3,6,0.0,0.0,2,4,2,2.0,2.0,1.0,5.0,0,4.0,0,530,6,3,1,5.0,581,530,0,0,0,1,0,3,1,1,6,7,0.0,2.0,1.0,288,4.0,5.0,1,0,0,144,0,0,0,0.0,0,3,2007,6,5,101000
62,63,120,4,44.0,6442,2,0.0,2,2,2,1,1,5,5,5,6,5,2006,2006,2,3,14,3.0,178.0,3,4,6,3.0,4.0,2.0,6.0,24,4.0,0,1346,6,5,2,5.0,1370,0,0,0,0,2,0,2,1,3,6,7,4.0,5.0,2.0,484,4.0,5.0,3,120,49,0,0,0,0,0.0,0,10,2007,6,5,202500
63,64,70,2,50.0,10300,2,0.0,2,1,2,1,1,4,3,4,8,6,1921,1950,2,3,8,0.0,0.0,2,4,2,2.0,3.0,1.0,5.0,0,4.0,0,576,6,4,2,5.0,902,808,0,0,0,2,0,3,1,2,9,7,0.0,2.0,1.0,480,4.0,5.0,3,12,11,64,0,0,0,0.0,0,4,2010,6,5,140000
64,65,60,4,0.0,9375,2,0.0,1,2,2,1,1,5,5,4,8,5,1997,1998,2,3,14,2.0,573.0,2,4,6,3.0,3.0,1.0,6.0,739,4.0,0,318,6,5,2,5.0,1057,977,0,1,0,2,1,3,1,3,8,7,0.0,5.0,2.0,645,4.0,5.0,3,576,36,0,0,0,0,0.0,0,2,2009,6,5,219500
65,66,60,4,76.0,9591,2,0.0,1,2,2,1,1,5,5,4,8,5,2004,2005,2,3,14,2.0,344.0,3,4,6,4.0,3.0,3.0,5.0,0,4.0,0,1143,6,5,2,5.0,1143,1330,0,0,0,2,1,4,1,3,9,7,4.0,6.0,2.0,852,4.0,5.0,3,192,151,0,0,0,0,0.0,0,10,2007,6,5,317000
66,67,20,4,0.0,19900,2,0.0,1,2,2,1,1,9,5,4,6,5,1970,1989,2,3,11,2.0,287.0,2,4,3,3.0,3.0,4.0,6.0,912,4.0,0,1035,6,3,2,5.0,2207,0,0,1,0,2,0,3,1,2,7,5,4.0,5.0,2.0,576,4.0,5.0,3,301,0,0,0,0,0,0.0,0,7,2010,6,5,180000
67,68,20,4,72.0,10665,2,0.0,2,2,2,1,1,5,5,4,6,5,2003,2003,2,3,14,2.0,167.0,3,4,6,3.0,3.0,3.0,6.0,1013,4.0,0,440,6,5,2,5.0,1479,0,0,1,0,2,0,3,1,3,7,7,0.0,5.0,2.0,558,4.0,5.0,3,144,29,0,0,0,0,0.0,0,6,2007,6,5,226000
68,69,30,2,47.0,4608,2,0.0,1,2,2,2,1,1,5,4,6,6,1945,1950,2,3,6,0.0,0.0,2,3,3,2.0,3.0,1.0,5.0,0,4.0,0,747,6,3,2,5.0,747,0,0,0,0,1,0,2,1,2,4,7,0.0,5.0,1.0,220,4.0,5.0,3,0,0,0,0,0,0,0.0,0,6,2010,6,5,80000
69,70,50,4,81.0,15593,2,0.0,1,2,2,2,1,5,5,4,3,4,1953,1953,2,3,2,0.0,0.0,3,4,3,2.0,3.0,1.0,2.0,603,4.0,0,701,5,3,2,5.0,1304,983,0,0,0,2,0,3,1,2,7,7,3.0,5.0,3.0,667,4.0,5.0,3,0,21,114,0,0,0,0.0,0,7,2006,6,5,225000
70,71,20,4,95.0,13651,2,0.0,2,2,2,1,1,5,5,4,6,6,1973,1973,2,3,11,2.0,1115.0,2,3,3,3.0,3.0,4.0,4.0,1880,4.0,0,343,6,5,2,5.0,2223,0,0,1,0,2,0,3,1,2,8,7,4.0,5.0,3.0,516,4.0,5.0,3,300,0,0,0,0,0,0.0,0,2,2007,6,5,244000
71,72,20,4,69.0,7599,2,0.0,1,2,2,2,1,5,5,4,6,6,1982,2006,2,3,11,0.0,0.0,2,4,3,2.0,3.0,1.0,4.0,565,4.0,0,280,6,3,2,5.0,845,0,0,1,0,1,0,2,1,2,4,7,0.0,2.0,1.0,360,4.0,5.0,3,0,0,0,0,0,0,0.0,0,6,2007,6,5,129500
